COUNTRY,AVERAGE
Tyrkiet,4943.75
Storbritannien,3709.04166667
Pakistan,3503.41666667
Jugoslavien,3134.83333333
Sverige,3089.625
Norge,2908.45833333
Irak,2482.08333333
Tyskland,2109.95833333
Somalia,1935.16666667
USA,1749.66666667
Marokko,1718.54166667
Polen,1660.16666667
Kina,1462.70833333
Frankrig,1419.29166667
Island,1374.91666667
Italien,1367.08333333
Thailand,1082.875
Iran,1078.83333333
Statsløs,993.5
Filippinerne,905.958333333
Indien,877.25
Spanien,861.458333333
Makedonien,817.083333333
Bosnien-Hercegovina,762.791666667
Finland,638.625
Nederlandene,550.666666667
Libanon,550.083333333
Rusland,483.875
Afghanistan,477.375
Rumænien,458.541666667
Jordan,448.125
Litauen,383.166666667
Irland,380.125
Canada,361.625
Nepal,348.5
Grækenland,338.333333333
Bulgarien,336.125
Brasilien,321.083333333
Australien,316.166666667
Portugal,300.333333333
Ghana,280.166666667
Japan,279.375
Schweiz,261.625
Vietnam (2),253.375
Egypten,245.416666667
Ungarn,238.625
Østrig,215.75
Israel,213.25
Bangladesh,203.041666667
Tunesien,197.458333333
Chile,196.625
Gambia,181.208333333
Ukraine,179.291666667
Letland,172.375
Algeriet,166.916666667
Nigeria,166.333333333
Uganda,158.041666667
Syrien,154.75
Belgien,147.583333333
Etiopien,142.375
Estland,138.208333333
Sovjetunionen,129.041666667
Kroatien,122.708333333
Mexico,113.291666667
Tanzania,110.916666667
Peru,109.791666667
Kenya,101.291666667
New Zealand,95.7916666667
Sri Lanka,92.5416666667
Argentina,91.2083333333
Indonesien,89.6666666667
Cuba,87.0
Slovakiet,84.6666666667
Tjekkiet,84.4583333333
Elfenbenskysten,81.2083333333
Colombia,80.2083333333
Sudan,80.125
Singapore,77.4166666667
Sierra Leone,71.25
Sydafrika,68.9583333333
Sydkorea,63.625
Jugoslavien Forbundsrepublikken,61.4166666667
Malaysia,59.6666666667
Cameroun,59.5416666667
Armenien,57.4166666667
Ecuador,51.0416666667
Burundi,44.2916666667
Venezuela,42.2916666667
Tjekkoslovakiet,39.7916666667
Uruguay,37.5416666667
Taiwan,32.0833333333
Serbien,30.7916666667
Slovenien,30.4583333333
Albanien,29.875
Hviderusland,29.125
Togo,26.3333333333
Eritrea,26.2916666667
Jamaica,23.125
Guinea,22.875
Myanmar,20.5833333333
Zimbabwe,20.5416666667
Nicaragua,20.3333333333
Bolivia,19.9583333333
Moldova,19.8333333333
Senegal,19.1666666667
Aserbajdsjan,19.0
Kosovo,18.4166666667
Zambia,18.25
Congo Demokratiske Republik,18.2083333333
Trinidad og Tobago,17.2083333333
Guatemala,16.75
Usbekistan,16.25
Congo Republikken,15.9166666667
Libyen,15.1666666667
Mozambique,15.0
Georgien,14.5416666667
Costa Rica,13.9583333333
Montenegro,13.6666666667
Kasakhstan,12.9166666667
Udlandet uoplyst,12.7916666667
Serbien og Montenegro,12.75
Cambodja,12.25
Rwanda,11.0416666667
Honduras,10.75
Liberia,10.0
Mauritius,9.875
Yemen,9.25
Dominikanske Republik,9.0
Cypern,8.95833333333
Land ukendt (1),8.125
Guinea-Bissau,7.45833333333
Kongelig,7.20833333333
Benin,7.08333333333
Djibouti,6.875
Malta,6.83333333333
Luxembourg,6.66666666667
Bahrain,6.66666666667
Bhutan,6.41666666667
Angola,6.20833333333
Mali,5.95833333333
Guyana,5.83333333333
Island ligeret dansk,5.79166666667
Burkina Faso,5.75
Mellemøsten uoplyst,5.625
Afrika uoplyst,5.04166666667
Asien uoplyst,4.95833333333
Panama,4.70833333333
Mongoliet,3.95833333333
Nordkorea,3.875
Saudi-Arabien,3.83333333333
Botswana,3.625
Barbados,3.25
Kuwait,3.16666666667
Tonga,3.125
Paraguay,3.04166666667
Malawi,3.04166666667
Mauretanien,3.04166666667
El Salvador,3.04166666667
Tadsjikistan,2.70833333333
Comorerne,2.70833333333
Lesotho,2.625
Madagaskar,2.54166666667
Haiti,2.5
Namibia,2.20833333333
Laos,2.16666666667
Kirgisistan,2.04166666667
Brunei,2.0
Swaziland,1.95833333333
Seychellerne,1.83333333333
Kap Verde,1.75
Niger,1.66666666667
Bahamas,1.625
Dominica,1.375
Liechtenstein,1.33333333333
Belize,1.20833333333
Grenada,1.20833333333
Tchad,1.16666666667
Turkmenistan,0.916666666667
Samoa,0.875
Gabon,0.75
Maldiverne,0.708333333333
Skt. Vincent og Grenadinerne,0.5
Vanuatu,0.458333333333
Forenede Arabiske Emirater,0.458333333333
Surinam,0.416666666667
Skt. Kitts og Nevis,0.375
Skt. Lucia,0.333333333333
San Marino,0.333333333333
Qatar,0.333333333333
Oman,0.291666666667
Fiji,0.291666666667
Færøerne,0.0833333333333
